vendor_name,tax_id,bank_account,bank_ifsc,active
Acme Office Supplies Pvt Ltd,29ABCDE1234F1Z5,123456789012,HDFC0001234,true
CloudOps Technologies,27FGHIJ5678K2L9,987654321098,ICIC0005678,true
DataWorks Analytics Pvt Ltd,29DATA2026A1Z9,555000111222,SBIN0002222,true
RecurringSaaS India Pvt Ltd,07SAAS2026B1Z2,444333222111,UTIB0003333,true
FacilitiesCo Services,27FACIL2026C1Z8,777888999000,KKBK0004444,true
TravelDesk Solutions,29TRAVL2026D1Z4,101010101010,HDFC0005555,true
SecurePrint Vendors,33PRINT2026E1Z1,202020202020,ICIC0006666,false
GreenByte Energy,29GREEN2026F1Z7,303030303030,SBIN0007777,true
LegalEase LLP,27LEGAL2026G1Z3,404040404040,UTIB0008888,true
PeopleOps Tools Pvt Ltd,29PEOPL2026H1Z6,505050505050,KKBK0009999,true
NetLink Communications,07NETLK2026I1Z5,606060606060,HDFC0001010,true
DesignHub Studio,29DESGN2026J1Z0,707070707070,ICIC0001111,true
AuditTrail Advisors,27AUDIT2026K1Z9,808080808080,SBIN0001212,true
XYZ Traders,29XYZTR2026L1Z1,909090909090,UTIB0001313,true
